AnimalID,features_values_dog,gp1,gp2
A710768,Chihuahua Shorthair Mix,Mix,Toy
A671175,Labrador Retriever Mix,Mix,Sporting
A703851,American Bulldog Mix,Non-Sporting,Mix
A694520,Dachshund,Hound,Hound
A693723,Cardigan Welsh Corgi Mix,Mix,Herding
A580225,Pit Bull Mix,Mix,Pit Bull
A691670,Border Collie Mix,Mix,Herding
A689759,Australian Cattle Dog Mix,Mix,Herding
A706904,Australian Shepherd Mix,Mix,Herding
A666607,Beagle/Chihuahua Shorthair,Toy,Hound
A671254,Yorkshire Terrier Mix,Mix,Toy
A720798,Chihuahua Shorthair Mix,Mix,Toy
A692907,German Shepherd Mix,Mix,Herding
A704726,Border Collie Mix,Mix,Herding
A696245,German Shepherd Mix,Mix,Herding
A604969,Labrador Retriever Mix,Mix,Sporting
A665898,Pit Bull Mix,Mix,Pit Bull
A681882,Dachshund Mix,Mix,Hound
A694051,Anatol Shepherd Mix,Mix,Herding
A691940,Basenji Mix,Mix,Hound
A699929,Chihuahua Shorthair/Dachshund,Hound,Toy
A681379,Labrador Retriever/Pit Bull,Sporting,Pit Bull
A704674,Dachshund Wirehair/Miniature Poodle,Non-Sporting,Hound
A719844,Pit Bull Mix,Mix,Pit Bull
A700947,Australian Shepherd Mix,Mix,Herding
A682537,Chihuahua Shorthair/Border Terrier,Toy,Terrier
A671459,Pit Bull,Pit Bull,Pit Bull
A688095,Pekingese,Toy,Toy
A704526,Pointer Mix,Mix,Sporting
A611226,Border Terrier/Bruss Griffon,Unknown,Terrier
A668187,Rhod Ridgeback Mix,Mix,Hound
A706376,German Shepherd Mix,Mix,Herding
A664073,Hovawart Mix,Unknown,Mix
A679610,Shiba Inu/Siberian Husky,Non-Sporting,Working
A694224,Beagle Mix,Mix,Hound
A664244,Pit Bull Mix,Mix,Pit Bull
A712868,Chihuahua Shorthair,Toy,Toy
A696267,Miniature Schnauzer Mix,Mix,Terrier
A668895,Rat Terrier Mix,Mix,Terrier
A719996,Pit Bull Mix,Mix,Pit Bull
A697431,Maltese,Toy,Toy
A668694,Chihuahua Shorthair Mix,Mix,Toy
A663220,Jack Russell Terrier Mix,Unknown,Mix
A688451,Chihuahua Shorthair Mix,Mix,Toy
A669979,Pomeranian Mix,Mix,Toy
A712305,Pit Bull Mix,Mix,Pit Bull
A668644,Chihuahua Shorthair Mix,Mix,Toy
A675148,Australian Cattle Dog Mix,Mix,Herding
A669875,Lhasa Apso Mix,Non-Sporting,Mix
A699875,Rat Terrier Mix,Mix,Terrier
A717756,Pit Bull Mix,Mix,Pit Bull
A719259,Labrador Retriever Mix,Mix,Sporting
A686882,Pit Bull/Boxer,Pit Bull,Working
A667424,German Shepherd Mix,Mix,Herding
A711633,Labrador Retriever/Collie Rough,Sporting,Herding
A674239,American Eskimo,Unknown,Unknown
A715884,Dachshund/Chihuahua Shorthair,Toy,Hound
A698770,Boxer Mix,Mix,Working
A705183,Pit Bull Mix,Mix,Pit Bull
A696397,Labrador Retriever Mix,Mix,Sporting
A675963,Labrador Retriever Mix,Mix,Sporting
A385442,Labrador Retriever Mix,Mix,Sporting
A701210,Australian Kelpie Mix,Mix,Working
A701020,Miniature Poodle Mix,Non-Sporting,Mix
A683032,Doberman Pinsch Mix,Mix,Working
A702854,Chihuahua Shorthair Mix,Mix,Toy
A702186,Chihuahua Shorthair Mix,Mix,Toy
A687788,Dachshund,Hound,Hound
A667384,Pit Bull Mix,Mix,Pit Bull
A706750,Pit Bull/English Bulldog,Non-Sporting,Pit Bull
A710779,Dachshund/Miniature Pinscher,Toy,Hound
A670765,Chihuahua Shorthair Mix,Mix,Toy
A687292,Chihuahua Shorthair Mix,Mix,Toy
A663614,Border Collie Mix,Mix,Herding
A697969,German Shepherd/Chinese Sharpei,Non-Sporting,Herding
A684992,Catahoula/Beagle,Herding,Hound
A607586,Rat Terrier Mix,Mix,Terrier
A674327,Pit Bull Mix,Mix,Pit Bull
A696899,Pit Bull Mix,Mix,Pit Bull
A711768,Golden Retriever Mix,Mix,Sporting
A671560,Pointer Mix,Mix,Sporting
A680196,German Shepherd Mix,Mix,Herding
A695625,Chihuahua Shorthair Mix,Mix,Toy
A701037,Australian Shepherd,Herding,Herding
A674454,Cardigan Welsh Corgi/Jack Russell Terrier,Unknown,Herding
A666600,Beagle/Chihuahua Shorthair,Toy,Hound
A698804,Catahoula Mix,Mix,Herding
A676457,Dachshund Mix,Mix,Hound
A712571,Yorkshire Terrier Mix,Mix,Toy
A687987,Pit Bull Mix,Mix,Pit Bull
A720146,Cairn Terrier Mix,Mix,Terrier
A714505,Papillon Mix,Mix,Toy
A685396,German Shepherd,Herding,Herding
A709712,American Pit Bull Terrier Mix,Unknown,Mix
A705652,Labrador Retriever Mix,Mix,Sporting
A666579,Havanese Mix,Mix,Toy
A700426,Pit Bull Mix,Mix,Pit Bull
A691059,Labrador Retriever Mix,Mix,Sporting
A707775,Chihuahua Shorthair Mix,Mix,Toy
A697023,German Shepherd,Herding,Herding
A669638,Pit Bull Mix,Mix,Pit Bull
A703261,Boston Terrier Mix,Non-Sporting,Mix
A701212,Siberian Husky,Working,Working
A674003,Labrador Retriever/Pointer,Sporting,Sporting
A668809,Chihuahua Shorthair Mix,Mix,Toy
A702927,Miniature Schnauzer Mix,Mix,Terrier
A710504,Norfolk Terrier/Dachshund,Hound,Terrier
A716990,Cocker Spaniel Mix,Mix,Sporting
A689341,Border Collie/German Shepherd,Herding,Herding
A676138,Labrador Retriever Mix,Mix,Sporting
A717408,Queensland Heeler Mix,Mix,Herding
A714772,Miniature Poodle Mix,Non-Sporting,Mix
A683496,American Pit Bull Terrier/Boxer,Unknown,Working
A672313,Labrador Retriever Mix,Mix,Sporting
A717071,Golden Retriever Mix,Mix,Sporting
A692276,Miniature Poodle/Golden Retriever,Non-Sporting,Sporting
A702401,Australian Cattle Dog Mix,Mix,Herding
A670273,Labrador Retriever/Chesa Bay Retr,Unknown,Sporting
A710447,Yorkshire Terrier Mix,Mix,Toy
A681513,Rat Terrier Mix,Mix,Terrier
A693282,Staffordshire Mix,Mix,Terrier
A685150,Chihuahua Longhair Mix,Mix,Toy
A687956,Rottweiler Mix,Mix,Working
A690308,Pug Mix,Mix,Toy
A679228,Brittany/Labrador Retriever,Sporting,Sporting
A711199,Pit Bull Mix,Mix,Pit Bull
A684354,Pit Bull Mix,Mix,Pit Bull
A687409,Golden Retriever Mix,Mix,Sporting
A669863,Pit Bull Mix,Mix,Pit Bull
A696589,Labrador Retriever Mix,Mix,Sporting
A718251,Labrador Retriever/Beagle,Sporting,Hound
A715262,Pit Bull Mix,Mix,Pit Bull
A720430,Norwegian Elkhound Mix,Mix,Hound
A664624,Pit Bull Mix,Mix,Pit Bull
A707494,Pit Bull Mix,Mix,Pit Bull
A676379,Labrador Retriever Mix,Mix,Sporting
A678179,Chow Chow Mix,Non-Sporting,Mix
A705803,Boston Terrier Mix,Non-Sporting,Mix
A692515,Pointer Mix,Mix,Sporting
A708459,Chihuahua Shorthair/Welsh Terrier,Toy,Terrier
A689848,Miniature Pinscher Mix,Mix,Toy
A702175,American Bulldog Mix,Non-Sporting,Mix
A718014,Rat Terrier Mix,Mix,Terrier
A701402,Greyhound,Hound,Hound
A679269,Australian Shepherd,Herding,Herding
A693404,Border Collie Mix,Mix,Herding
A549834,Chihuahua Shorthair Mix,Mix,Toy
A701461,Pit Bull Mix,Mix,Pit Bull
A555012,Pit Bull Mix,Mix,Pit Bull
A669095,Boxer,Working,Working
A666455,Dachshund/Bloodhound,Hound,Hound
A667616,Australian Cattle Dog Mix,Mix,Herding
A711296,Plott Hound Mix,Mix,Hound
A662557,Pit Bull Mix,Mix,Pit Bull
A685622,Treeing Walker Coonhound/Labrador Retriever,Sporting,Hound
A670633,Plott Hound Mix,Mix,Hound
A548276,Cocker Spaniel,Sporting,Sporting
A716512,St. Bernard Smooth Coat Mix,Mix,Working
A675081,Chihuahua Shorthair Mix,Mix,Toy
A694367,Labrador Retriever/Australian Cattle Dog,Sporting,Herding
A690036,Boxer,Working,Working
A720206,Mastiff Mix,Mix,Working
A683806,Border Collie/Great Pyrenees,Herding,Working
A697240,Beagle Mix,Mix,Hound
A692922,Jack Russell Terrier Mix,Unknown,Mix
A691441,Cavalier Span Mix,Unknown,Mix
A666354,Miniature Poodle Mix,Non-Sporting,Mix
A708468,Pointer Mix,Mix,Sporting
A692774,Bulldog Mix,Non-Sporting,Mix
A679160,Labrador Retriever/German Shepherd,Sporting,Herding
A624160,Labrador Retriever Mix,Mix,Sporting
A681502,Australian Shepherd/Labrador Retriever,Herding,Sporting
A333659,Cocker Spaniel Mix,Mix,Sporting
A670816,Chinese Sharpei/Great Dane,Non-Sporting,Working
A693785,Border Collie Mix,Mix,Herding
A668384,German Shepherd Mix,Mix,Herding
A717066,Chihuahua Shorthair/Cardigan Welsh Corgi,Herding,Toy
A683816,Dachshund Mix,Mix,Hound
A689776,Pit Bull Mix,Mix,Pit Bull
A670719,Dachshund/Beagle,Hound,Hound
A047759,Dachshund,Hound,Hound
A707880,American Pit Bull Terrier/Pointer,Unknown,Sporting
A676054,Plott Hound Mix,Mix,Hound
A720425,Chihuahua Shorthair Mix,Mix,Toy
A665386,Chihuahua Shorthair/Rat Terrier,Toy,Terrier
A701430,Chihuahua Shorthair Mix,Mix,Toy
A555113,Border Collie Mix,Mix,Herding
A692543,Catahoula Mix,Mix,Herding
A674466,Pit Bull Mix,Mix,Pit Bull
A708991,German Shepherd Mix,Mix,Herding
A654512,Plott Hound Mix,Mix,Hound
A694763,Pit Bull Mix,Mix,Pit Bull
A704272,Plott Hound Mix,Mix,Hound
A692805,Beagle Mix,Mix,Hound
A705116,German Shepherd Mix,Mix,Herding
A691842,Pit Bull Mix,Mix,Pit Bull
A712645,Dalmatian Mix,Non-Sporting,Mix
A678032,Great Dane Mix,Mix,Working
A665632,Labrador Retriever Mix,Mix,Sporting
A605191,Great Pyrenees Mix,Mix,Working
A694305,Yorkshire Terrier Mix,Mix,Toy
A710825,Papillon,Toy,Toy
A700585,Pit Bull Mix,Mix,Pit Bull
A698438,Australian Cattle Dog/Alaskan Husky,Unknown,Herding
A574858,Golden Retriever/Pit Bull,Sporting,Pit Bull
A671885,Catahoula Mix,Mix,Herding
A697241,Beagle/Standard Poodle,Non-Sporting,Hound
A669011,Border Collie/Labrador Retriever,Herding,Sporting
A640810,Chihuahua Shorthair/Dachshund,Hound,Toy
A717755,Australian Cattle Dog Mix,Mix,Herding
A715242,Miniature Pinscher Mix,Mix,Toy
A693455,Mastiff Mix,Mix,Working
A716517,Labrador Retriever Mix,Mix,Sporting
A713725,Rottweiler Mix,Mix,Working
A699177,Rat Terrier Mix,Mix,Terrier
A715436,Labrador Retriever Mix,Mix,Sporting
A680067,German Shepherd Mix,Mix,Herding
A700508,Chihuahua Shorthair Mix,Mix,Toy
A489912,Chihuahua Shorthair Mix,Mix,Toy
A709874,Siberian Husky Mix,Mix,Working
A692347,Pit Bull Mix,Mix,Pit Bull
A693268,Beagle/German Shepherd,Herding,Hound
A699694,Pug,Toy,Toy
A690910,Miniature Poodle Mix,Non-Sporting,Mix
A695006,Maltese/Miniature Poodle,Non-Sporting,Toy
A711657,Pit Bull Mix,Mix,Pit Bull
A713022,Irish Terrier Mix,Mix,Terrier
A664995,Australian Cattle Dog Mix,Mix,Herding
A685233,Miniature Schnauzer/Lhasa Apso,Non-Sporting,Terrier
A690790,Pit Bull Mix,Mix,Pit Bull
A696947,Yorkshire Terrier,Toy,Toy
A685419,Chow Chow/Labrador Retriever,Non-Sporting,Sporting
A687316,Pit Bull Mix,Mix,Pit Bull
A720585,Chow Chow Mix,Non-Sporting,Mix
A675338,Pit Bull Mix,Mix,Pit Bull
A713460,German Shepherd Mix,Mix,Herding
A689963,Australian Cattle Dog Mix,Mix,Herding
A681273,Pit Bull Mix,Mix,Pit Bull
A632107,Staffordshire Mix,Mix,Terrier
A670827,Chihuahua Shorthair/Jack Russell Terrier,Unknown,Toy
A674116,Golden Retriever/Labrador Retriever,Sporting,Sporting
A558438,Chinese Sharpei Mix,Non-Sporting,Mix
A713453,Shih Tzu Mix,Mix,Toy
A692611,Labrador Retriever/German Shepherd,Sporting,Herding
A711186,Rat Terrier/Chihuahua Shorthair,Toy,Terrier
A667083,Pit Bull Mix,Mix,Pit Bull
A717425,Pomeranian Mix,Mix,Toy
A671189,Australian Cattle Dog Mix,Mix,Herding
A564767,Miniature Schnauzer Mix,Mix,Terrier
A703522,Miniature Schnauzer Mix,Mix,Terrier
A668357,Norfolk Terrier Mix,Mix,Terrier
A698302,Canaan Dog/Redbone Hound,Hound,Working
A675086,Toy Poodle Mix,Mix,Toy
A636398,Labrador Retriever Mix,Mix,Sporting
A696538,Australian Cattle Dog Mix,Mix,Herding
A666599,Pit Bull/English Bulldog,Non-Sporting,Pit Bull
A712400,Pit Bull Mix,Mix,Pit Bull
A712926,Rat Terrier Mix,Mix,Terrier
A697792,American Bulldog Mix,Non-Sporting,Mix
A684505,Pug Mix,Mix,Toy
A671050,Chihuahua Shorthair Mix,Mix,Toy
A675217,Chihuahua Shorthair/Italian Greyhound,Toy,Toy
A717424,Pomeranian Mix,Mix,Toy
A680946,Chihuahua Shorthair Mix,Mix,Toy
A689507,Australian Shepherd Mix,Mix,Herding
A689033,German Shepherd Mix,Mix,Herding
A669973,Jack Russell Terrier Mix,Unknown,Mix
A707288,Harrier Mix,Mix,Hound
A692924,Chihuahua Shorthair Mix,Mix,Toy
A702653,Boxer Mix,Mix,Working
A698260,Pit Bull Mix,Mix,Pit Bull
A718285,Chihuahua Shorthair Mix,Mix,Toy
A697651,Pit Bull Mix,Mix,Pit Bull
A680103,Chihuahua Shorthair Mix,Mix,Toy
A686020,German Shepherd Mix,Mix,Herding
A660851,American Bulldog Mix,Non-Sporting,Mix
A702228,German Shepherd/Greyhound,Herding,Hound
A704099,American Bulldog Mix,Non-Sporting,Mix
A700840,Pit Bull Mix,Mix,Pit Bull
A688588,Labrador Retriever Mix,Mix,Sporting
A719044,Pug Mix,Mix,Toy
A663740,Anatol Shepherd Mix,Mix,Herding
A701112,Yorkshire Terrier Mix,Mix,Toy
A686864,Pit Bull Mix,Mix,Pit Bull
A718215,Chihuahua Shorthair/Miniature Pinscher,Toy,Toy
A667043,Dachshund/German Pinscher,Hound,Working
A699539,Chihuahua Shorthair Mix,Mix,Toy
A674590,Rat Terrier Mix,Mix,Terrier
A673084,Chihuahua Shorthair/Yorkshire Terrier,Toy,Toy
A669362,Chihuahua Shorthair Mix,Mix,Toy
A695474,Chihuahua Shorthair Mix,Mix,Toy
A714274,Yorkshire Terrier Mix,Mix,Toy
A721024,Pointer Mix,Mix,Sporting
A705944,Yorkshire Terrier Mix,Mix,Toy
A708382,Belgian Malinois Mix,Mix,Herding
A691257,Labrador Retriever Mix,Mix,Sporting
A693912,Chihuahua Longhair Mix,Mix,Toy
A666874,Beagle Mix,Mix,Hound
A676366,Jack Russell Terrier Mix,Unknown,Mix
A677371,Border Collie/Labrador Retriever,Herding,Sporting
A707645,Pit Bull Mix,Mix,Pit Bull
A565498,Rottweiler/Labrador Retriever,Sporting,Working
A674446,Australian Kelpie Mix,Mix,Working
A673361,Beagle,Hound,Hound
A675359,Australian Cattle Dog Mix,Mix,Herding
A632022,Rat Terrier Mix,Mix,Terrier
A671475,Cairn Terrier Mix,Mix,Terrier
A697953,Flat Coat Retriever/Australian Cattle Dog,Sporting,Herding
A658441,Pit Bull Mix,Mix,Pit Bull
A523396,Labrador Retriever/Boxer,Sporting,Working
A676173,Boxer Mix,Mix,Working
A718733,Border Collie Mix,Mix,Herding
A698112,Chihuahua Longhair Mix,Mix,Toy
A707017,Miniature Pinscher Mix,Mix,Toy
A673140,Chihuahua Longhair Mix,Mix,Toy
A687094,Labrador Retriever Mix,Mix,Sporting
A717491,Boxer Mix,Mix,Working
A670966,Shih Tzu Mix,Mix,Toy
A667538,Chihuahua Shorthair/Dachshund,Hound,Toy
A692402,Pit Bull Mix,Mix,Pit Bull
A700616,Chihuahua Shorthair Mix,Mix,Toy
A673100,Maltese,Toy,Toy
A680647,Miniature Schnauzer Mix,Mix,Terrier
A714567,Field Spaniel Mix,Mix,Sporting
A662273,Pit Bull Mix,Mix,Pit Bull
A695857,Labrador Retriever Mix,Mix,Sporting
A691603,Affenpinscher Mix,Mix,Toy
A717903,Beagle Mix,Mix,Hound
A663888,Boxer Mix,Mix,Working
A682895,Miniature Schnauzer Mix,Mix,Terrier
A695296,Miniature Poodle/Miniature Schnauzer,Non-Sporting,Terrier
A700972,Chihuahua Shorthair Mix,Mix,Toy
A687741,Plott Hound/Blue Lacy,Herding,Hound
A720524,Labrador Retriever Mix,Mix,Sporting
A668937,Pit Bull/Chinese Sharpei,Non-Sporting,Pit Bull
A685361,Rottweiler,Working,Working
A667723,Catahoula Mix,Mix,Herding
A666643,Jack Russell Terrier/Cairn Terrier,Unknown,Terrier
A702256,Shih Tzu Mix,Mix,Toy
A674787,Jack Russell Terrier/Shih Tzu,Unknown,Toy
A702674,Australian Cattle Dog Mix,Mix,Herding
A689209,Miniature Poodle Mix,Non-Sporting,Mix
A700701,Labrador Retriever Mix,Mix,Sporting
A678312,Queensland Heeler/Dachshund,Herding,Hound
A687262,Miniature Schnauzer/Miniature Poodle,Non-Sporting,Terrier
A664922,Miniature Schnauzer,Terrier,Terrier
A715181,Maltese Mix,Mix,Toy
A719393,Black Mouth Cur/Staffordshire,Herding,Terrier
A714382,Labrador Retriever/Redbone Hound,Sporting,Hound
A702933,Great Pyrenees,Working,Working
A672272,Jack Russell Terrier Mix,Unknown,Mix
A399421,Pug,Toy,Toy
A714845,Chihuahua Shorthair/Dachshund,Hound,Toy
A673518,American Staffordshire Terrier Mix,Mix,Terrier
A676057,Chihuahua Shorthair Mix,Mix,Toy
A670185,German Shepherd Mix,Mix,Herding
A696224,Rottweiler Mix,Mix,Working
A701154,Dachshund/Manchester Terrier,Hound,Terrier
A711613,Beauceron Mix,Mix,Herding
A668741,Jack Russell Terrier Mix,Unknown,Mix
A676509,Pit Bull Mix,Mix,Pit Bull
A700206,German Shepherd Mix,Mix,Herding
A711641,Dachshund/Chihuahua Shorthair,Toy,Hound
A680395,Dachshund Mix,Mix,Hound
A685566,Catahoula/Pointer,Herding,Sporting
A577780,Siberian Husky Mix,Mix,Working
A658212,Chihuahua Shorthair Mix,Mix,Toy
A672323,Beagle Mix,Mix,Hound
A695011,Jack Russell Terrier/Shih Tzu,Unknown,Toy
A651703,Pit Bull Mix,Mix,Pit Bull
A680099,Boxer/American Staffordshire Terrier,Terrier,Working
A693547,Rat Terrier Mix,Mix,Terrier
A684338,Jack Russell Terrier/Labrador Retriever,Unknown,Sporting
A669329,Beagle Mix,Mix,Hound
A679087,Pit Bull Mix,Mix,Pit Bull
A668533,Australian Shepherd Mix,Mix,Herding
A712738,Catahoula Mix,Mix,Herding
A684701,Boxer/Labrador Retriever,Sporting,Working
A667204,Lhasa Apso Mix,Non-Sporting,Mix
A716582,Basenji Mix,Mix,Hound
A708926,Chihuahua Shorthair Mix,Mix,Toy
A698513,Miniature Poodle Mix,Non-Sporting,Mix
A684240,Pit Bull Mix,Mix,Pit Bull
A680177,Australian Cattle Dog Mix,Mix,Herding
A689504,Australian Kelpie Mix,Mix,Working
A699237,Finnish Spitz/Dachshund,Non-Sporting,Hound
A662224,Chihuahua Shorthair Mix,Mix,Toy
A695605,Pit Bull Mix,Mix,Pit Bull
A715171,Labrador Retriever Mix,Mix,Sporting
A609949,Catahoula Mix,Mix,Herding
A664935,Black Mouth Cur Mix,Mix,Herding
A670258,Black Mouth Cur,Herding,Herding
A673755,Pit Bull Mix,Mix,Pit Bull
A713121,Basset Hound Mix,Mix,Hound
A668149,German Shorthair Pointer Mix,Unknown,Mix
A633633,Feist Mix,Unknown,Mix
A689189,Chihuahua Shorthair,Toy,Toy
A717211,Pit Bull Mix,Mix,Pit Bull
A669920,Jack Russell Terrier Mix,Unknown,Mix
A696605,Labrador Retriever Mix,Mix,Sporting
A674419,Labrador Retriever/American Pit Bull Terrier,Unknown,Sporting
A649375,English Bulldog Mix,Non-Sporting,Mix
A667798,Shih Tzu Mix,Mix,Toy
A652433,Cocker Spaniel,Sporting,Sporting
A692554,Labrador Retriever Mix,Mix,Sporting
A680262,Labrador Retriever,Sporting,Sporting
A658747,Labrador Retriever/Pit Bull,Sporting,Pit Bull
A688390,Carolina Dog Mix,Unknown,Mix
A692406,Australian Shepherd/Australian Cattle Dog,Herding,Herding
A679741,Catahoula Mix,Mix,Herding
A665344,Chihuahua Shorthair Mix,Mix,Toy
A676742,English Pointer Mix,Unknown,Mix
A658878,Pit Bull Mix,Mix,Pit Bull
A668374,Chihuahua Shorthair Mix,Mix,Toy
A674460,Pit Bull Mix,Mix,Pit Bull
A703346,Great Pyrenees Mix,Mix,Working
A706575,Collie Rough/Pembroke Welsh Corgi,Herding,Herding
A674503,Pit Bull Mix,Mix,Pit Bull
A690802,Labrador Retriever/Pointer,Sporting,Sporting
A674582,Chihuahua Shorthair/Cocker Spaniel,Sporting,Toy
A684948,Chihuahua Shorthair Mix,Mix,Toy
A697678,Cairn Terrier Mix,Mix,Terrier
A489686,Chihuahua Shorthair,Toy,Toy
A660611,Pit Bull Mix,Mix,Pit Bull
A696416,Black Mouth Cur Mix,Mix,Herding
A690266,Doberman Pinsch Mix,Mix,Working
A676516,American Eskimo Mix,Unknown,Mix
A635339,Rat Terrier Mix,Mix,Terrier
A676565,Chihuahua Shorthair Mix,Mix,Toy
A670911,Shih Tzu,Toy,Toy
A687695,Catahoula Mix,Mix,Herding
A700421,Chihuahua Shorthair Mix,Mix,Toy
A673331,Miniature Poodle Mix,Non-Sporting,Mix
A688784,Pit Bull Mix,Mix,Pit Bull
A669187,Chihuahua Shorthair Mix,Mix,Toy
A712941,American Bulldog Mix,Non-Sporting,Mix
A716965,Dachshund Mix,Mix,Hound
A708901,Great Pyrenees/Pointer,Sporting,Working
A666835,Labrador Retriever Mix,Mix,Sporting
A713683,Australian Cattle Dog Mix,Mix,Herding
A665367,Labrador Retriever Mix,Mix,Sporting
A675300,Pit Bull/German Shepherd,Pit Bull,Herding
A700882,Labrador Retriever Mix,Mix,Sporting
A709385,Australian Shepherd Mix,Mix,Herding
A683738,Yorkshire Terrier/Cairn Terrier,Toy,Terrier
A674465,Pit Bull Mix,Mix,Pit Bull
A708802,Pit Bull Mix,Mix,Pit Bull
A695709,Chow Chow Mix,Non-Sporting,Mix
A696875,Chihuahua Shorthair/Cardigan Welsh Corgi,Herding,Toy
A718540,Dachshund Mix,Mix,Hound
A664942,Pit Bull Mix,Mix,Pit Bull
A711676,American Pit Bull Terrier Mix,Unknown,Mix
A695139,Australian Cattle Dog Mix,Mix,Herding
A666174,Chihuahua Shorthair Mix,Mix,Toy
A704107,Chihuahua Shorthair Mix,Mix,Toy
A575920,Pointer Mix,Mix,Sporting
A719669,Border Collie,Herding,Herding
A715664,Anatol Shepherd Mix,Mix,Herding
A672209,Cairn Terrier Mix,Mix,Terrier
A666528,Cairn Terrier Mix,Mix,Terrier
A696108,Miniature Pinscher/Chihuahua Shorthair,Toy,Toy
A693035,Beagle Mix,Mix,Hound
A664777,Yorkshire Terrier/Chihuahua Shorthair,Toy,Toy
A712674,Beagle Mix,Mix,Hound
A692201,Shih Tzu Mix,Mix,Toy
A668183,Dachshund Mix,Mix,Hound
A710718,Australian Shepherd/Parson Russell Terrier,Herding,Terrier
A669605,Toy Poodle,Toy,Toy
A673771,American Bulldog Mix,Non-Sporting,Mix
A715817,Dachshund Mix,Mix,Hound
A652101,Pit Bull/Chow Chow,Non-Sporting,Pit Bull
A644228,German Shepherd Mix,Mix,Herding
A720565,Boston Terrier Mix,Non-Sporting,Mix
A684431,Queensland Heeler,Herding,Herding
A704054,German Shepherd Mix,Mix,Herding
A669760,German Shepherd Mix,Mix,Herding
A694313,Pit Bull Mix,Mix,Pit Bull
A697386,Pit Bull Mix,Mix,Pit Bull
A605420,Chihuahua Shorthair Mix,Mix,Toy
A711848,Chihuahua Shorthair Mix,Mix,Toy
A690544,Chihuahua Shorthair Mix,Mix,Toy
A712130,Bull Terrier Mix,Mix,Terrier
A691464,Chinese Sharpei/Labrador Retriever,Non-Sporting,Sporting
A670226,Border Collie Mix,Mix,Herding
A681728,American Staffordshire Terrier Mix,Mix,Terrier
A670081,Labrador Retriever Mix,Mix,Sporting
A666715,Chihuahua Shorthair Mix,Mix,Toy
A700247,Labrador Retriever Mix,Mix,Sporting
A707479,Chihuahua Shorthair,Toy,Toy
A700533,English Bulldog/Boxer,Non-Sporting,Working
A693942,Labrador Retriever/Australian Cattle Dog,Sporting,Herding
A691617,Mastiff Mix,Mix,Working
A684958,Labrador Retriever Mix,Mix,Sporting
A669802,Australian Kelpie/Pit Bull,Pit Bull,Working
A697489,Labrador Retriever Mix,Mix,Sporting
A529890,Pit Bull,Pit Bull,Pit Bull
A704423,Border Collie Mix,Mix,Herding
A689194,Labrador Retriever Mix,Mix,Sporting
A700722,Labrador Retriever/Australian Cattle Dog,Sporting,Herding
A611929,Pit Bull Mix,Mix,Pit Bull
A674012,Australian Cattle Dog,Herding,Herding
A718016,Australian Cattle Dog Mix,Mix,Herding
A362137,Keeshond Mix,Non-Sporting,Mix
A715288,Dachshund Wirehair Mix,Mix,Hound
A695680,Great Pyrenees Mix,Mix,Working
A676835,German Shepherd/Australian Cattle Dog,Herding,Herding
A664836,Boxer/Pit Bull,Pit Bull,Working
A698248,Labrador Retriever Mix,Mix,Sporting
A713497,Border Collie Mix,Mix,Herding
A660562,American Staffordshire Terrier Mix,Mix,Terrier
A668006,Chihuahua Shorthair/Dachshund,Hound,Toy
A686135,American Pit Bull Terrier Mix,Unknown,Mix
A713925,Redbone Hound Mix,Mix,Hound
A696945,Border Collie/Labrador Retriever,Herding,Sporting
A680300,Alaskan Malamute Mix,Mix,Working
A675230,Cairn Terrier Mix,Mix,Terrier
A701616,Great Dane/Australian Cattle Dog,Herding,Working
A705906,Australian Cattle Dog Mix,Mix,Herding
A717498,Labrador Retriever Mix,Mix,Sporting
A682018,Dachshund Wirehair/Chihuahua Longhair,Toy,Hound
A685155,Dachshund Mix,Mix,Hound
A663684,Siberian Husky Mix,Mix,Working
A698130,Dachshund Mix,Mix,Hound
A677786,Boxer Mix,Mix,Working
A700644,Pit Bull Mix,Mix,Pit Bull
A706918,English Springer Spaniel,Sporting,Sporting
A704325,American Staffordshire Terrier Mix,Mix,Terrier
A574020,Smooth Fox Terrier Mix,Mix,Terrier
A682384,Border Collie/Labrador Retriever,Herding,Sporting
A702497,Dachshund Longhair/Miniature Schnauzer,Hound,Terrier
A693870,Australian Shepherd/Australian Cattle Dog,Herding,Herding
A683489,Pit Bull Mix,Mix,Pit Bull
A671751,Shetland Sheepdog/Dachshund Longhair,Herding,Hound
A655092,Flat Coat Retriever Mix,Mix,Sporting
A717876,Pit Bull Mix,Mix,Pit Bull
A689514,Chihuahua Shorthair Mix,Mix,Toy
A668921,Pomeranian,Toy,Toy
A591500,Pit Bull Mix,Mix,Pit Bull
A711707,Pit Bull/Labrador Retriever,Pit Bull,Sporting
A673740,Pug Mix,Mix,Toy
A718519,Chihuahua Shorthair Mix,Mix,Toy
A663411,American Staffordshire Terrier Mix,Mix,Terrier
A669295,Labrador Retriever Mix,Mix,Sporting
A684268,Great Dane/Mastiff,Working,Working
A672267,Pit Bull Mix,Mix,Pit Bull
A700680,Akita/Siberian Husky,Working,Working
A693556,Labrador Retriever Mix,Mix,Sporting
A688270,Chihuahua Shorthair Mix,Mix,Toy
A634176,Labrador Retriever/Beagle,Sporting,Hound
A677671,Blue Lacy/American Bulldog,Non-Sporting,Herding
